kind,M,N,method,option,estimate,variance,ci_width
delta,150,47000,FD_eps_1.0,digital,0.007144130949101783,0.02826261136246945,0.003039787895876984
price,150,49000,MC,call,5.627182238081685,63.213800647442355,0.14079718705655253
price,150,49000,MC,digital,0.2935696764038681,0.19871428174104774,0.00789409898303739
delta,150,49000,malliavin_A,call,0.590145584878017,36.682112252616776,0.10725441903446509
delta,150,49000,malliavin_A,digital,0.006774497794724435,0.10633954168513349,0.005774779673066138
delta,150,49000,malliavin_B,call,0.5799999807814733,1.9342634700523829,0.024628946875748126
delta,150,49000,malliavin_B,digital,0.0073149579725815365,0.0009527750964383445,0.000546617114846458
delta,150,49000,FD_eps_1.0,call,0.5843698522429742,0.27911683541842586,0.009355802455546902
delta,150,49000,FD_eps_1.0,digital,0.00708029139272636,0.02815052584986222,0.002971195871449203
price,150,51000,MC,call,5.63170475638659,63.22799487171134,0.13802434144493247
price,150,51000,MC,digital,0.2933980329761656,0.1986482999640599,0.007736479967378029
delta,150,51000,malliavin_A,call,0.5896383639678936,36.550021904294375,0.10494090368618658
delta,150,51000,malliavin_A,digital,0.0064403315666638865,0.10608425658903761,0.005653617825660245
delta,150,51000,malliavin_B,call,0.5805767356152723,1.931112953244251,0.024121528129628977
delta,150,51000,malliavin_B,digital,0.007335788889138045,0.0009539084199076739,0.0005361105085025363
delta,150,51000,FD_eps_1.0,call,0.5846802064959056,0.2790706825172674,0.009169762474561027
delta,150,51000,FD_eps_1.0,digital,0.007059515547970519,0.028203652260544845,0.0029151013236903287
price,250,1000,MC,call,5.137247175658106,55.961714895202974,0.9273241589463996
price,250,1000,MC,digital,0.29113366006455244,0.1979685205732655,0.055154904356158774
delta,250,1000,malliavin_A,call,0.41214881114083163,57.22050478122423,0.937695667405051
delta,250,1000,malliavin_A,digital,0.008123296668978548,0.18339229909980762,0.05308558584858307
delta,250,1000,malliavin_B,call,0.5112421294594509,1.71890568728147,0.1625219749850524
delta,250,1000,malliavin_B,digital,0.006893100709497716,0.0009231233200572499,0.0037663088276624008
delta,250,1000,FD_eps_1.0,call,0.558519798360234,0.2764688379732051,0.06517922024565381
delta,250,1000,FD_eps_1.0,digital,0.00824878703516232,0.031276905159284094,0.021922897514690502
price,250,3000,MC,call,5.394022351131255,60.00125958747535,0.55437753541697
price,250,3000,MC,digital,0.3021320427781022,0.20198624893227127,0.03216520633434439
delta,250,3000,malliavin_A,call,0.5668063800786889,57.14151383656115,0.5410050394768775
delta,250,3000,malliavin_A,digital,0.01538237771623388,0.192315953813569,0.031385792288235695
delta,250,3000,malliavin_B,call,0.5545488727781478,1.877851889978132,0.09807450107301086
delta,250,3000,malliavin_B,digital,0.007690646886249008,0.0009972524341073882,0.002260101753127336
delta,250,3000,FD_eps_1.0,call,0.5775424063439463,0.2763104627195241,0.037620460276881706
delta,250,3000,FD_eps_1.0,digital,0.009866196257743168,0.02902855451955657,0.012193774096771873
price,250,5000,MC,call,5.454979474723613,60.37880314128361,0.4307678819480909
price,250,5000,MC,digital,0.30122629361345693,0.20162675661177257,0.024892880077641233
delta,250,5000,malliavin_A,call,0.5868766121553628,56.51976124151135,0.4167745815525606
delta,250,5000,malliavin_A,digital,0.01315018339435299,0.18722116297823965,0.023987143551447813
delta,250,5000,malliavin_B,call,0.5569084085092239,1.754977443159976,0.07344070449358919
delta,250,5000,malliavin_B,digital,0.007945529299148308,0.0010031118660895038,0.0017558028465108344
delta,250,5000,FD_eps_1.0,call,0.5815839988842425,0.27601858714768174,0.029125288041652597
delta,250,5000,FD_eps_1.0,digital,0.01077194542238844,0.02950836144533077,0.009522996222970277
price,250,7000,MC,call,5.510524421873596,61.41118972722315,0.36716460026696573
price,250,7000,MC,digital,0.3031949116957982,0.20233589849995592,0.02107528800247116
delta,250,7000,malliavin_A,call,0.5798074390166192,56.11765248897741,0.3509835761738762
delta,250,7000,malliavin_A,digital,0.012355191378620999,0.1882489950896263,0.020328408546188448
delta,250,7000,malliavin_B,call,0.569818080106438,1.8119786789480143,0.06306865779471349
delta,250,7000,malliavin_B,digital,0.0077453586320312615,0.0009964568469013734,0.0014789936004993044
delta,250,7000,FD_eps_1.0,call,0.5863477942273314,0.2759766984075275,0.024613493217018334
delta,250,7000,FD_eps_1.0,digital,0.011160123635807843,0.02937705893290197,0.008030474442366802
price,250,9000,MC,call,5.440065337767019,60.32030624002953,0.32091985046577776
price,250,9000,MC,digital,0.3009459426815429,0.20150557500670022,0.01854848082363547
delta,250,9000,malliavin_A,call,0.6181834681756632,56.31007314943793,0.31006864975419796
delta,250,9000,malliavin_A,digital,0.013567420503387313,0.18628116325228722,0.0178340213792501
delta,250,9000,malliavin_B,call,0.5648148063044913,1.7767739216003358,0.05507834701473424
delta,250,9000,malliavin_B,digital,0.007803666694643779,0.0009984672980222814,0.0013056649173815863
delta,250,9000,FD_eps_1.0,call,0.5810240448063461,0.2762459725598781,0.021717648002243406
delta,250,9000,FD_eps_1.0,digital,0.010890555432044369,0.02923630557748816,0.0070652260011498415
price,250,11000,MC,call,5.432837103639073,60.56478651616212,0.29087059533281945
price,250,11000,MC,digital,0.29748566719323355,0.20021411612025186,0.016723881112051142
delta,250,11000,malliavin_A,call,0.6229949551462372,57.1916072806926,0.28265448135296256
delta,250,11000,malliavin_A,digital,0.014103010310652125,0.1818974003047264,0.01594053783751736
delta,250,11000,malliavin_B,call,0.5630399931209317,1.7827974435442184,0.04990461687193237
delta,250,11000,malliavin_B,digital,0.0076199376050713205,0.0009748713123341033,0.001166979883516374
delta,250,11000,FD_eps_1.0,call,0.5772163919494794,0.2773124407197823,0.019682234465436155
delta,250,11000,FD_eps_1.0,digital,0.009792677656716762,0.028887392738039475,0.006352488644545035
price,250,13000,MC,call,5.429672891483768,60.519984081076615,0.2674630504147988
price,250,13000,MC,digital,0.294418244947332,0.1990500793910304,0.015338947762412736
delta,250,13000,malliavin_A,call,0.5822527684615368,56.45691574419546,0.25832888252285713
delta,250,13000,malliavin_A,digital,0.012063688075350701,0.17821950324297814,0.01451416330727414
delta,250,13000,malliavin_B,call,0.5627541428933014,1.7909156747640478,0.046009971013561746
delta,250,13000,malliavin_B,digital,0.0077611904611936235,0.0009748250814206878,0.0010734399102218734
delta,250,13000,FD_eps_1.0,call,0.5748453851754698,0.2781189640300611,0.018131331252561722
delta,250,13000,FD_eps_1.0,digital,0.008062162894095299,0.028624799998650693,0.005816819952644401
price,250,15000,MC,call,5.396660399576315,60.23585067215399,0.24840936318485696
price,250,15000,MC,digital,0.2939156039273915,0.1988559599035398,0.014272818507596319
delta,250,15000,malliavin_A,call,0.6025846839288546,56.723756519494536,0.24105876630414702
delta,250,15000,malliavin_A,digital,0.013074548689363698,0.18104896521740216,0.0136187880496435
delta,250,15000,malliavin_B,call,0.5568982006574477,1.7565387426504424,0.042419867149771306
delta,250,15000,malliavin_B,digital,0.0077738113445687705,0.0009732091640181224,0.0009984895692317164
delta,250,15000,FD_eps_1.0,call,0.5726266542867497,0.27800160378202493,0.01687578905682363
delta,250,15000,FD_eps_1.0,digital,0.009186884384259209,0.028766905827829592,0.005428589637052829
price,250,17000,MC,call,5.4294196456599435,60.69255764478572,0.23422288502656308
price,250,17000,MC,digital,0.2947871020732057,0.19918710789463176,0.013418136924134738
delta,250,17000,malliavin_A,call,0.5914591178361391,56.41707317316045,0.2258223290694612
delta,250,17000,malliavin_A,digital,0.012406561622073943,0.18148470026039432,0.01280800874931114
delta,250,17000,malliavin_B,call,0.5606964907744463,1.7882557060540174,0.040204662066151364
delta,250,17000,malliavin_B,digital,0.007833288779393837,0.0009725552435868784,0.0009376024773812067
delta,250,17000,FD_eps_1.0,call,0.5748371566082572,0.27807426559484544,0.01585411506209522
delta,250,17000,FD_eps_1.0,digital,0.008762552317629176,0.028773373808516457,0.005099845276148884
price,250,19000,MC,call,5.407218973068951,60.34024979638701,0.22090869922486256
price,250,19000,MC,digital,0.29430037706876333,0.19900024820248075,0.01268633208568759
delta,250,19000,malliavin_A,call,0.5867891547257257,55.49807433622796,0.2118596369347321
delta,250,19000,malliavin_A,digital,0.012046288089179794,0.17999421566293217,0.012065311555213239
delta,250,19000,malliavin_B,call,0.5580002193023328,1.7665131675696004,0.03779790298982877
delta,250,19000,malliavin_B,digital,0.00779758010985142,0.0009705173381116819,0.0008859534746118482
delta,250,19000,FD_eps_1.0,call,0.5734253555813339,0.2780573230224166,0.014996034648658618
delta,250,19000,FD_eps_1.0,digital,0.008427553317658097,0.028753441067199494,0.0048222994996109615
